PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,18303,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,18603,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,18903,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,19203,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,19503,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,19803,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,20103,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,20403,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,20703,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,21003,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,21303,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,21603,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,21903,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,22203,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,22503,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,22803,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,23103,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,23403,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,23703,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,24003,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,24303,Ashmore Reef,0,0,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,24603,Ashmore Reef,0,0,0
