,Global_rate,pi_t__0,pi_t__1,pi_t__2,pi_t__3,Sanctuary,CoastLength,η0_USA-Western Atlantic,η0_Bahamas,η0_Australia-Pacific,η0_Australia IOT,η0_Maldives,η0_Malaysia,η0_Solomon Islands,η0_Indonesia,η0_Palau,η0_American Samoa,η0_New Caledonia,η0_Belize,η0_Jamaica,η0_Trinidad and Tobago,η0_Vanuatu,η0_British West Indies,η0_Fiji,η0_Colombia,η0_Australia-Indian Ocean,η0_South Africa,η0_Mozambique,η0_Niue,η0_Japan,η0_Seychelles,η0_Taiwan,η0_Kiribati,η0_Qatar,η0_Federated States of Micronesia,η0_Vietnam,η0_Philippines,η0_French Polynesia,η0_Samoa,η0_Turks and Caicos,η0_Antigua and Barbuda,η0_Barbados,η0_Brazil,η0_Columbia SF,η0_Jamaica PB,η0_Mayotte,η0_USA-Pacific,η0_Sri Lanka,η0_Tanzania,η0_Papua New Guinea,η0_Tonga,η0_New Zealand,η0_India,η0_Kenya,η0_Dutch Antilles Windward,η0_Madagascar,η0_Saudi Arabia-Red Sea,η0_Guam,η0_Cook Islands,η0_Dominican Republic,η0_French West Indies,η0_Dutch Antilles Leeward,η0_Cuba,η0_Bermuda,η0_Puerto Rico,Reef_type_flat,Reef_type_crest,Reef_type_back reef,Reef_type_lagoon,Closed,MPA_size,High_compliance,Gillnet_longline,Drumline,HookLine,Catch,Temporal,Species,Remote,Gravity_NP,Gravity_NC,Depth,Visibililty,Hard_coral,Rugosity,TimeODay,Bait_type__0,Bait_type__1,Bait_type__2,Bait_type__3,Seasonality__0,Seasonality__1,Global_zeros,pi0_t__0,pi0_t__1,pi0_t__2,pi0_t__3,HDI,VOICE,POP,η0z_USA-Western Atlantic,η0z_Bahamas,η0z_Australia-Pacific,η0z_Australia IOT,η0z_Maldives,η0z_Malaysia,η0z_Solomon Islands,η0z_Indonesia,η0z_Palau,η0z_American Samoa,η0z_New Caledonia,η0z_Belize,η0z_Jamaica,η0z_Trinidad and Tobago,η0z_Vanuatu,η0z_British West Indies,η0z_Fiji,η0z_Colombia,η0z_Australia-Indian Ocean,η0z_South Africa,η0z_Mozambique,η0z_Niue,η0z_Japan,η0z_Seychelles,η0z_Taiwan,η0z_Kiribati,η0z_Qatar,η0z_Federated States of Micronesia,η0z_Vietnam,η0z_Philippines,η0z_French Polynesia,η0z_Samoa,η0z_Turks and Caicos,η0z_Antigua and Barbuda,η0z_Barbados,η0z_Brazil,η0z_Columbia SF,η0z_Jamaica PB,η0z_Mayotte,η0z_USA-Pacific,η0z_Sri Lanka,η0z_Tanzania,η0z_Papua New Guinea,η0z_Tonga,η0z_New Zealand,η0z_India,η0z_Kenya,η0z_Dutch Antilles Windward,η0z_Madagascar,η0z_Saudi Arabia-Red Sea,η0z_Guam,η0z_Cook Islands,η0z_Dominican Republic,η0z_French West Indies,η0z_Dutch Antilles Leeward,η0z_Cuba,η0z_Bermuda,η0z_Puerto Rico,σ0_υ,Regional_rate_Western Atlantic,Regional_rate_Central Pacific,Regional_rate_Indian Ocean,Regional_rate_Western Pacific,σ0_η,σ0_κ,σ0_υ_z,Regional_zeros__0,Regional_zeros__1,Regional_zeros__2,Regional_zeros__3,σ0_η_z,alpha
Median,-1.5041297892153243,-0.07891169718809163,0.3801967869995726,-0.15717037028823377,-0.1947175457780253,0.7636497804492539,-0.20328701967126483,-0.9475409876942769,-1.0029020988268238,-0.8685764169507946,-1.4767517457169481,-0.7881428860097346,-2.066127071713262,-1.0990076730522138,-1.8876196129391491,-0.683909645927846,-1.4849015388595763,-0.4679225145611811,-1.3787141793287572,-1.5638408734908351,-1.0475097851237165,-1.2156278654119559,-1.4590875645211256,-1.1316181058451633,-2.103767481542654,-1.3368856032382517,-1.2774676878255602,-1.5179286554354803,-0.7815907015463621,-1.9913055793439518,-1.0439968909153028,-1.6102456295399197,-0.6750869837767235,-1.5715863885633419,-0.29733829414195134,-1.5991364288660188,-2.485892950391916,-0.05677534555303049,-1.3006264864891874,-1.0595389848096324,-1.3172223045252014,-1.074611718723788,-1.8258572662056216,-1.2066235445657871,-1.2350616970358697,-1.661116206104706,-1.182212321761335,-1.9300039337002763,-1.7350579475888717,-1.2084894981582814,-1.3896504983588298,-1.4258448024516905,-1.6655342909730237,-1.5640629910077457,-1.5174674639616295,-1.8061728677967177,-1.5208950245460486,-2.518615119773506,-0.9315426883132826,-0.7791737837503798,-1.5339073928992901,-1.7317092933526204,-2.243348900983609,-1.6705792453221235,-1.5254039088356892,-0.2925339791216896,0.6534309009452482,-0.6154294674353198,0.432638813202629,0.3326830828011822,0.34381846137482086,0.2609377988170965,-0.4800683743536779,-0.31414441920910463,0.23248736889659527,0.5000376810267512,-0.116533585178719,0.003228478011276382,0.7640906229621542,-0.40582776033784274,-0.8533924261705703,0.08449153859442113,0.3302171708198689,-0.008972017972153435,0.06871300982734063,0.17750177891653018,0.2451467233860063,-0.11318135944062993,-0.2646948061896047,1.0881037087436864,-0.20728759103241465,-0.03920255164999065,5.115473882453273,-0.2495274507783759,0.7660510952190708,-0.3499215324462385,-0.011520205328825094,0.9834203889548845,1.751455022454742,-1.4327756330178478,10.344161228003594,11.598429626227919,13.11690703420685,1.2913646044903344,9.63934866843405,8.100012416725662,10.22966168789679,8.382664593060978,13.749471373701907,12.957641686878901,2.496139425188572,10.11320144998578,-5.864505559865561,0.13370982849948287,9.98749944555673,9.374240086777775,11.049850867821966,6.3260221840124515,9.879408321448935,-0.15497508097206147,1.1609878499662332,12.519436471029923,8.86524760921505,6.895984959197108,-1.0382412871783622,12.645512407129829,-6.840243318666676,13.2865201536117,-7.132271341119019,3.9493494445723774,14.180713416938072,10.868299266727881,10.163384925503497,10.586131971963278,10.589195244266744,8.416632477175138,8.701731845323456,10.03749087285639,6.676524775431766,11.700190387315764,6.285658524200889,6.743329224654555,1.7180189131050312,11.869987937284261,11.493175897639725,-5.8029284447931655,-6.526254064526659,-7.979090282425582,5.170887778090387,6.514862390371835,12.429185802662513,13.284139254042966,-6.6598051085344165,-6.549252364623905,10.648052135254982,8.783238835737063,-1.7956700281862104,8.439095934450496,0.21730433629151674,-1.5161852805330955,-1.386626743438908,-1.5443274504293423,-1.5614707548587725,0.5806351778835103,0.95216093437933,1.7101136924139837,4.5351531299388945,6.914869232837458,4.218526452373998,5.052390464993698,8.233741260495284,6.5981767811350664
Low 95,-1.7307555159194423,-0.6023913760388693,-0.1395012970518328,-0.6902039650761156,-0.7530925156482338,0.534455601790482,-0.35794224745597825,-1.2548640551938655,-1.3376201722836232,-1.1546024049730348,-1.7444509834961532,-1.1137699767436307,-2.400843170842114,-1.4472971796485317,-2.152219289525023,-1.0561657592349314,-1.8508700514396557,-0.8541168246621456,-1.6753488866592183,-2.047975800982333,-1.3966204295487696,-1.5257619292917866,-1.8609921430473713,-1.4592086283492935,-2.4928438503430024,-1.6027575208751765,-1.6299861285709367,-1.8300486014970845,-1.1603551237543022,-2.393629001802509,-1.407933649755745,-1.9695836889574623,-1.0816391958201788,-2.0232025653009003,-0.648736336173287,-2.0667537914743823,-2.8511118526819397,-0.4060361599537268,-1.6934379272036435,-1.4231134766980127,-1.6924110552094522,-1.4212376140818281,-2.153032507246931,-1.6051702993735792,-1.6251104176354345,-2.0364626971817255,-1.5002230671544823,-2.2995762162083917,-2.1364160313548144,-1.481159265790362,-1.7801884899087512,-1.82592149871815,-2.1336270301352904,-2.021980438818903,-1.9798361840699052,-2.0883335925868254,-1.8802589895524757,-2.867535527362108,-1.3269212186896218,-1.3069148115379492,-1.9859565442137042,-2.0060006739104628,-2.5990688002598414,-2.1450768514577234,-1.8918858680545783,-0.6230822207739286,0.15605848924173019,-0.8064794539327869,0.2640318189064879,0.1495208160509729,0.13537190454215062,0.06941821418378183,-0.6536357922130549,-0.5041939332686891,0.0576380057498202,0.27107948342366495,-0.3456812388065399,-0.14830045932070596,0.5482882870967178,-0.5080509582537324,-0.9721639632571302,0.06453904627133825,0.30344976148185626,-0.02901989636334939,0.04414930362926131,0.15001945847905152,0.15310608093842068,-0.2133469810836389,-0.380286818804102,0.8702609680495577,-0.2708852840230781,-0.10024851097619282,2.6851920502870668,-0.8227946043553225,0.10600831544870226,-0.9212623032916076,-0.6020221652973723,-1.0509004020363202,0.6923736593718308,-3.2042703322811597,6.751499063107119,8.1153859378276,9.056495158593677,1.2001946413745312,6.532022237418127,4.428269868223043,6.497272972351289,4.731847815478495,9.379370527007918,8.126527464152062,2.1770628005953623,6.326835857401337,-8.829287813332352,-0.27879023788798907,4.414977084666136,5.248563001107513,6.906997413218967,1.9504766925023684,5.954243304542022,-0.36343159689729615,0.48630600353436876,7.897063528750881,4.422844599885789,2.8040588913178337,-1.3515758023114663,8.12420820776217,-10.202569068850131,9.113826547203502,-10.693810117641052,1.5692616013445684,10.221725944310345,5.492023989136486,6.305020186295623,6.566629564031666,6.277056956204168,4.6183534841250395,5.179749556732506,6.367599470001536,1.7563570897882326,7.550893903569584,2.136989002340872,2.993450791736065,1.3737277855202081,7.201780176796074,6.265738399269134,-9.238474411739508,-9.721841917826124,-10.414559136923879,1.6608138955200278,3.381807187406374,7.298913633420595,8.99209423577805,-9.562416570336167,-9.408133140262754,6.00286957651277,5.910232522208731,-5.543424664911003,4.214378444143545,0.0963978532238876,-1.7332297986059655,-1.6210382629938533,-1.7576796637439682,-1.7984422785065868,0.4929519908759468,0.9175523533403585,0.7406176394612876,2.0185858432569495,4.129029333004304,1.687953143992737,2.5229321438751353,6.935683322871912,6.2277709166984785
Upp 95,-0.7063804921111003,1.5442823377765902,1.9929010859122018,1.529162808805927,1.5834800620681342,1.4282905165326278,0.24769520356120694,-0.0011035185103961522,-0.06201911386129476,-0.029625442222346487,-0.7005576538072709,0.11631148706823456,-1.150708346771027,-0.033269870314953896,-1.1407110509789609,0.40964073385722655,-0.4127378873700638,0.7235910552054003,-0.521127153836141,-0.2066493584642188,0.03457257062544212,-0.27219857961049215,-0.2573833726052935,-0.12445637580576444,-1.0173283266502349,-0.5503127528734798,-0.23730302095509137,-0.5787874987343806,0.44943074162416446,-0.8862119598763006,0.07277687098749397,-0.559377669808456,0.5023289472798423,-0.19531719473262746,0.7430649944354272,-0.20569450717776078,-1.4955741924152681,0.9973645457066457,-0.11378074262795657,0.07158712294333636,-0.21376422517334936,-0.04662578466388435,-0.8772822672789289,0.032470441507660375,-0.0048392966724257564,-0.5652097083522811,-0.19144762078625516,-0.8450858148245584,-0.637082056186442,-0.42138588722071235,-0.21097076730497993,-0.24283225683779827,-0.3181552401597638,-0.2134828670339092,-0.14982281319010166,-0.9734067195436453,-0.46731393953407074,-1.5337386395973862,0.1928385773502015,0.7542968575071082,-0.17275382047533008,-0.9276214888842765,-1.2632354481444867,-0.3309295204595375,-0.435587976712844,0.668668222013437,2.1561965628344084,-0.05077490343980302,0.9327124486252,0.870241418340326,0.9609580391909576,0.8168695542151342,0.004517007250498792,0.22703695270318797,0.7624559109699128,1.140904128036635,0.5264737186444332,0.4595435292174059,1.4000292790632556,-0.1138590261845975,-0.5029182375171137,0.14347730692811025,0.4101704526527218,0.05032582842179791,0.1413267048719351,0.2589861270406669,0.5155886322084343,0.1770554895456767,0.06391652463070698,1.6794041263379158,-0.025716020609433076,0.13454556237789633,13.780481578209798,1.5035102484261111,2.54808429457714,1.4740245732963095,1.7834971749036643,13.220904376355374,5.7675294686703165,3.1256411977187675,28.923099129435034,30.114692919285073,32.17188294195448,1.573346675194357,26.88903896241827,26.24225826595313,28.659249938984924,26.565937695645694,34.139313865739965,32.70860692730001,18.173161143185375,29.52020275358999,5.769625798354828,20.779347057710694,30.3208113236461,28.877346828357354,30.244007164053873,25.76591773022656,29.337655037337594,0.6970914791646425,20.047658089873085,32.80212227781152,28.380862084458677,27.353432019175635,0.31309134997473653,32.97801940756691,-1.361645114331141,32.67557694678363,-1.4733827735929343,24.637659529794924,33.27871929708385,31.39049682320918,29.105307437139576,29.879339860599664,30.070730443142292,26.68368118125387,26.666442086673058,28.28240489594064,27.92400972509816,31.55483166986493,25.22844958010117,25.173380646324482,16.324570273771577,31.2912432236636,32.33000975738043,11.198046471841817,-1.0321059933888321,-4.426349532251924,24.172946104820316,23.56464769533738,33.03342133192969,32.937925062255786,-1.7682346967389986,-1.7272880987061199,30.42116461727418,25.9682031557053,25.707855217863905,27.355374080040246,1.5924376569828744,-0.8437758172139403,-0.6206390747547823,-0.9217645281683501,-0.8743283365940316,0.8865748439796616,1.0607936109632063,6.793077225196042,13.163857097083154,17.92583158757721,12.962708827223013,13.987586302838507,13.94385662752312,7.882107424501913
