PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,65,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,66,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,67,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,68,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,69,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,70,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,71,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,72,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,73,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,74,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,75,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,76,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,77,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,78,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,79,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,80,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,81,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,82,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,83,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,84,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,85,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,86,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,87,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,88,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,89,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,90,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,91,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,92,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,93,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,94,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,95,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,96,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,97,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,98,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,99,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,100,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,101,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,102,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,103,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,104,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,105,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,106,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,107,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,108,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,109,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,110,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,111,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,112,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,113,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,114,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,115,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,116,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,117,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,118,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,119,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,120,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,121,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,122,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,123,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,124,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,125,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,126,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,127,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,128,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,129,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,130,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,131,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,132,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,133,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,134,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,135,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,136,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,137,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,138,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,139,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,140,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,141,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,142,French Polynesia,9,35.53,1
