Location,Reef_ID,Region
Australia-Indian Ocean,671,Indian Ocean
Australia-Indian Ocean,672,Indian Ocean
Australia-Indian Ocean,673,Indian Ocean
Australia-Indian Ocean,674,Indian Ocean
Australia-Indian Ocean,675,Indian Ocean
Australia-Indian Ocean,676,Indian Ocean
Australia-Indian Ocean,677,Indian Ocean
Australia-Indian Ocean,678,Indian Ocean
Australia-Indian Ocean,679,Indian Ocean
Australia-Indian Ocean,680,Indian Ocean
Australia-Indian Ocean,681,Indian Ocean
Australia-Indian Ocean,682,Indian Ocean
Australia-Indian Ocean,685,Indian Ocean
Australia-Indian Ocean,686,Indian Ocean
Australia-Indian Ocean,687,Indian Ocean
Australia IOT,688,Indian Ocean
Australia IOT,690,Indian Ocean
Australia IOT,689,Indian Ocean
Australia IOT,692,Indian Ocean
Australia IOT,691,Indian Ocean
Indonesia,168,Western Pacific
Indonesia,169,Western Pacific
Belize,510,Western Atlantic
Columbia SF,668,Western Atlantic
French Polynesia,700,Central Pacific
French Polynesia,701,Central Pacific
French Polynesia,703,Central Pacific
French Polynesia,705,Central Pacific
French Polynesia,695,Central Pacific
French Polynesia,696,Central Pacific
French Polynesia,697,Central Pacific
French Polynesia,698,Central Pacific
French Polynesia,707,Central Pacific
French Polynesia,708,Central Pacific
French Polynesia,704,Central Pacific
Saudi Arabia-Red Sea,344,Indian Ocean
Saudi Arabia-Red Sea,380,Indian Ocean
Guam,711,Central Pacific
Guam,712,Central Pacific
Guam,713,Central Pacific
Guam,714,Central Pacific
Guam,715,Central Pacific
Guam,716,Central Pacific
Guam,694,Central Pacific
India,593,Indian Ocean
Cook Islands,624,Central Pacific
Cook Islands,625,Central Pacific
USA-Pacific,723,Central Pacific
USA-Pacific,724,Central Pacific
USA-Pacific,725,Central Pacific
USA-Pacific,726,Central Pacific
USA-Pacific,727,Central Pacific
USA-Pacific,728,Central Pacific
Australia IOT,732,Indian Ocean
USA-Pacific,733,Central Pacific
Dominican Republic,736,Western Atlantic
Dominican Republic,738,Western Atlantic
Dominican Republic,740,Western Atlantic
Dominican Republic,734,Western Atlantic
Jamaica,175,Western Atlantic
French West Indies,171,Western Atlantic
French West Indies,170,Western Atlantic
