PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo,,,
Euan Harvey,Jordan,Damon,NIC-14,81,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,82,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,83,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,84,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,85,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,86,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,87,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,88,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,89,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,90,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,91,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,92,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,93,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,94,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,95,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,96,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,97,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,98,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,99,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,100,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,101,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,102,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,103,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,104,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,105,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,106,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,107,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,108,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,109,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,110,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,111,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,112,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,113,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,114,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,115,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,116,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,117,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,118,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,119,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,120,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,121,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,122,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,123,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,124,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,125,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,126,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,127,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,128,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,129,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,130,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,131,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,132,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,133,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,134,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,135,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,136,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,137,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,138,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,139,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,140,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,141,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,142,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,143,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,144,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,145,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,146,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,147,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,148,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,149,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,150,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,151,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,152,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,153,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,154,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,155,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,156,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,157,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,158,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,159,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,160,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,161,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,162,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,163,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,164,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,165,Fiji,2,9.638,2,,,
Euan Harvey,Jordan,Damon,NIC-14,166,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,167,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,168,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,169,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,170,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,171,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,172,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,173,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,174,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,175,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,176,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,177,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,178,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,179,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,180,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,181,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,182,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,183,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,184,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,185,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,186,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,187,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,188,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,189,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,190,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,191,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,192,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,193,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,194,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,195,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,196,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,197,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,198,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,199,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,200,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,201,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,202,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,203,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,204,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,205,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,206,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,207,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,208,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,209,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,210,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,211,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,212,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,213,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,214,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,215,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,216,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,217,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,218,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,219,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,220,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,221,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,222,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,223,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,224,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,225,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,226,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,227,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,228,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,229,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,230,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,231,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,232,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,233,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,234,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,235,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,236,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,237,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,238,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,239,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,240,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,241,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,242,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,243,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,244,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,245,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,246,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,247,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,248,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,249,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,250,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,251,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,252,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,253,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,254,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,255,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,256,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,257,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,258,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,259,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,260,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,261,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,262,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,263,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,264,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,265,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,266,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,267,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,268,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,269,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,270,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,271,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,272,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,273,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,274,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,275,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,276,Fiji,2,9.638,1,,,
