,Global_rate,pi_t__0,pi_t__1,pi_t__2,pi_t__3,η0_USA-Western Atlantic,η0_Bahamas,η0_Australia-Pacific,η0_Australia IOT,η0_Maldives,η0_Malaysia,η0_Solomon Islands,η0_Indonesia,η0_Palau,η0_American Samoa,η0_New Caledonia,η0_Belize,η0_Jamaica,η0_Trinidad and Tobago,η0_Vanuatu,η0_British West Indies,η0_Fiji,η0_Colombia,η0_Australia-Indian Ocean,η0_South Africa,η0_Mozambique,η0_Niue,η0_Japan,η0_Seychelles,η0_Taiwan,η0_Kiribati,η0_Qatar,η0_Federated States of Micronesia,η0_Vietnam,η0_Philippines,η0_French Polynesia,η0_Samoa,η0_Turks and Caicos,η0_Antigua and Barbuda,η0_Barbados,η0_Brazil,η0_Columbia SF,η0_Jamaica PB,η0_Mayotte,η0_USA-Pacific,η0_Sri Lanka,η0_Tanzania,η0_Papua New Guinea,η0_Tonga,η0_New Zealand,η0_India,η0_Kenya,η0_Dutch Antilles Windward,η0_Madagascar,η0_Saudi Arabia-Red Sea,η0_Guam,η0_Cook Islands,η0_Dominican Republic,η0_French West Indies,η0_Dutch Antilles Leeward,η0_Cuba,η0_Bermuda,η0_Puerto Rico,Reef_type_flat,Reef_type_crest,Reef_type_back reef,Reef_type_lagoon,Depth,Visibililty,Hard_coral,Rugosity,TimeODay,Bait_type__0,Bait_type__1,Bait_type__2,Bait_type__3,Seasonality__0,Seasonality__1,Global_zeros,pi0_t__0,pi0_t__1,pi0_t__2,pi0_t__3,η0z_USA-Western Atlantic,η0z_Bahamas,η0z_Australia-Pacific,η0z_Australia IOT,η0z_Maldives,η0z_Malaysia,η0z_Solomon Islands,η0z_Indonesia,η0z_Palau,η0z_American Samoa,η0z_New Caledonia,η0z_Belize,η0z_Jamaica,η0z_Trinidad and Tobago,η0z_Vanuatu,η0z_British West Indies,η0z_Fiji,η0z_Colombia,η0z_Australia-Indian Ocean,η0z_South Africa,η0z_Mozambique,η0z_Niue,η0z_Japan,η0z_Seychelles,η0z_Taiwan,η0z_Kiribati,η0z_Qatar,η0z_Federated States of Micronesia,η0z_Vietnam,η0z_Philippines,η0z_French Polynesia,η0z_Samoa,η0z_Turks and Caicos,η0z_Antigua and Barbuda,η0z_Barbados,η0z_Brazil,η0z_Columbia SF,η0z_Jamaica PB,η0z_Mayotte,η0z_USA-Pacific,η0z_Sri Lanka,η0z_Tanzania,η0z_Papua New Guinea,η0z_Tonga,η0z_New Zealand,η0z_India,η0z_Kenya,η0z_Dutch Antilles Windward,η0z_Madagascar,η0z_Saudi Arabia-Red Sea,η0z_Guam,η0z_Cook Islands,η0z_Dominican Republic,η0z_French West Indies,η0z_Dutch Antilles Leeward,η0z_Cuba,η0z_Bermuda,η0z_Puerto Rico,σ0_υ,Regional_rate_Western Atlantic,Regional_rate_Central Pacific,Regional_rate_Indian Ocean,Regional_rate_Western Pacific,σ0_η,σ0_κ,σ0_υ_z,Regional_zeros__0,Regional_zeros__1,Regional_zeros__2,Regional_zeros__3,σ0_η_z,alpha
Median,-1.189861447120618,-0.31251549900021014,0.8521649459682654,-0.05248119309828993,-0.5966627870083531,-1.006139866858191,-0.5116279893023377,0.2877979250891716,-0.41677463417353355,-0.753950557127991,-1.9981950287420012,-0.5995283588812799,-2.0418724433079536,-0.21086913729974044,-0.8958409378461565,0.5227944838750502,-1.274960957568359,-1.621181558370139,-0.8457080459966813,-1.0477083289955837,-1.403106346493904,-1.0605975628141848,-2.7534961064391466,-0.1726403446067159,-0.5963602410540774,-1.164436288947405,-0.02014109992017478,-2.333570783234908,-0.5605249434823095,-1.7815889639206963,-0.32553036112607725,-1.3967921297546984,0.2028982281966235,-1.8764686295144923,-2.7697792192312285,0.2194760048612559,-1.0562392726662901,-0.9526151661285172,-0.921102373222032,-1.955159402061438,-1.9649789056371418,-0.4175781073796596,-1.103342445189973,-1.585693593924718,-0.7507624613650061,-2.6073526446708564,-2.1441476496479392,-1.0813966273086266,-0.25904448975198024,0.12998002558018046,-1.4143427045849737,-1.365661971178027,-1.6056948613178563,-1.576123488894248,-1.6050762833575551,-2.275279201901827,-0.36900685137784567,-1.6042671167916245,-1.6329378651821975,-2.4023114640033487,-1.9077405775775036,-1.801552385500593,-1.6896765255284831,-0.14231433200250093,1.069052074754517,-0.5289082896989878,0.6590961932588404,0.08325080594972879,0.3333161016587901,-0.012685892303662107,0.07524209980040857,0.17686523238350926,0.13919802161355355,-0.12010392546593446,-0.24295613613441958,1.0218093715846122,-0.21019511457244386,-0.04657941220920275,6.022557648159309,-0.14850417237851846,1.1632008558996803,-0.5416841222737507,-0.20389770329510412,9.315713594107534,10.236305685862034,12.390492821351707,1.2884145273678183,9.190565691008286,8.170930692055308,9.088739623714616,7.874199368448945,12.13025907036473,11.239733143755856,2.474633980229922,8.929219490472871,-6.245248714210218,-0.04051521257195258,9.320130773115691,8.046008069985621,11.465633563906037,6.757874290238718,8.040514980327906,-0.16086809381147155,1.3304034631472084,11.396946710388484,7.1155610727135645,4.742460451069576,-1.024142332228883,11.67973779906449,-6.7144320259851025,12.19518689268861,-6.311504502713021,2.6674827617844024,12.974386618329746,9.777643856477667,8.819831584840085,9.037392408106442,8.31141694633117,8.149816165661512,8.642432982323957,9.035135328050153,4.456165215462359,11.635610746607071,4.519697208959037,6.144552431124504,1.6678466247018007,11.145852950729086,10.576908141777341,-5.894839675981212,-6.513711561904138,-7.739359214234685,5.490781427750612,7.131481663021486,10.906118832075924,12.121027948759089,-6.409361455069182,-6.17879297179452,8.078148958189544,9.510525287721947,-2.675115964865916,7.414504422569983,0.7990931899626803,-1.441875211465308,-0.5206322937887256,-1.2304710813063013,-1.697529327695417,0.898619207827655,1.05498231701415,2.6695276447838525,5.527050447401381,9.435474167183656,4.428534295643007,5.3649249123400615,7.667486831659274,6.660077967040078
Low 95,-1.4917370437947615,-0.7174828605445709,0.38186041605803056,-0.4634764925559236,-1.0459654367089941,-1.235956131443804,-0.6891273299052941,0.10527297296005887,-0.6080034638707337,-1.0444073066162052,-2.2822534074843945,-0.9960448238553152,-2.2487495087547877,-0.5324677377813369,-1.3097578827896839,0.22514220493915071,-1.5188020579388153,-2.3068499951816595,-1.2029848660945308,-1.3788612764280046,-1.90001505019892,-1.2970382452639897,-3.167164244349001,-0.3042347782646504,-1.0060938277099782,-1.484450222079563,-0.41593999305589613,-2.7927954212013173,-0.9673609062667594,-2.203850413522917,-0.7189422284609099,-2.0907452836675664,-0.11778706882876552,-2.5891106959317742,-3.1060424961899136,0.0807252111305122,-1.4796122169286972,-1.353053675989436,-1.3300829680177384,-2.3082998368422647,-2.2652264712203216,-0.8315397274865067,-1.5838560147752676,-1.9831903249821254,-0.9767802014829767,-3.0922677098835507,-2.6203081508678885,-1.3946269253925276,-0.6806895907009647,-0.2829181821113552,-2.121515176106015,-2.0414698191568537,-2.242641311116596,-1.8600329537057378,-2.0299474554840553,-2.5930035357989945,-0.6956875287395538,-2.2893426556190133,-2.308604192551885,-2.6506179087148927,-2.2294380781306886,-2.458693232940992,-2.112114733565501,-0.5024851303936079,0.515247708259231,-0.7389723994223859,0.47513800400430234,0.0636263787558604,0.306061863570698,-0.03330366818141626,0.04972487019995669,0.1491988124412585,0.04044012602232487,-0.22500168323083788,-0.35999786908507164,0.8008352933893347,-0.27525588140496343,-0.11062723920810297,4.4547735539097815,-0.660106548516554,0.5662967932226719,-1.0675965304424584,-0.7638802898093169,6.183887252000243,7.3647924471060415,8.703663905915766,1.200167490984804,6.272163158920371,4.749704663711337,5.810351819652428,4.380097624525318,8.32012216741793,6.929686018955676,2.15882906106112,5.532591406911784,-8.958493449308808,-0.3884318354605233,3.5884074270128608,4.415144410275358,7.166525054916902,2.3577704152204393,4.979930451877577,-0.37611071446892264,0.5699302216023724,7.253643474704914,3.009659949020153,2.1880102835253092,-1.3507554734086438,7.500670692049257,-9.637202455447651,8.43083455056917,-9.108693158634058,1.2798545048621133,9.63905752734657,4.299742498026779,5.542879956493123,5.731893347122712,4.626857650614828,4.661406462130048,5.2252324550186895,5.679435243591566,0.9540733707140935,7.729652709167556,0.4745533749906228,2.145391533978135,1.3509305723545575,6.6997408294180865,5.828809998917119,-8.788994571402258,-9.288722810315193,-10.393091824644461,1.9274655478757956,3.69577820308799,6.625693517526394,8.273232459305406,-9.194358477446247,-8.988543543828197,4.394079145937559,6.4868191508410735,-6.1006761820184074,3.543963476469086,0.5174927485813753,-1.6409515234801835,-0.7229669321856691,-1.4538253439642057,-1.9814487699097056,0.8064192029286323,1.0175617482833585,1.4457776152214563,4.025849523810473,7.328323381470545,2.6192363585160834,3.5853318907260836,6.453135126114758,6.2838620238128495
Upp 95,0.20860601312397345,0.8482381812956202,2.414134043846134,1.1832705572817894,0.6608468723620528,-0.34101937128607224,-0.016529520356562737,0.8125693210474701,0.12446277640184474,0.10148990087140289,-1.158399839971093,0.6028002603650436,-1.4390993372267855,0.717726323994425,0.29239806071441576,1.4012497731807994,-0.5551352184153303,0.37498231969768253,0.17062858509910717,-0.06913025241714262,0.03278735310739225,-0.39375531601782476,-1.5096626943353966,0.2132227165432909,0.5860462667600199,-0.21484571944832248,1.1417399410786422,-0.9985644389102073,0.6495238164849838,-0.5944417043612037,0.8345733334637107,0.5564089655579835,1.175527370207359,0.17252902301062853,-1.8205958413613612,0.6307353023912672,0.20538806886882263,0.2373423383842272,0.2947772535132843,-0.9439617085413665,-1.091162297638068,0.7914982082768895,0.32730708818984605,-0.38041876289152504,-0.09689647058661022,-1.1362752765936286,-0.7906441417881821,-0.1599862705303479,0.9961163102563935,1.365604370743867,0.5210689479848436,0.553832409160797,0.3408829668104966,-0.7036539849560755,-0.39688928312022553,-1.3851013836787465,0.5908009967648269,0.32342286927862374,0.32714949870971444,-1.7004831070333593,-0.992601299611058,0.17560348464796607,-0.45165381515052494,0.9112388110515509,2.691858264338575,0.06939682422735678,1.1991385689384675,0.14117337907732194,0.41328491304509263,0.044769550372047745,0.14847041034696654,0.25839756335999126,0.4277259260621915,0.1791051757380071,0.09408030074320015,1.6202958984456153,-0.020952247362761033,0.13777210459669337,12.15813680600008,1.421378594263204,2.8202890896270745,1.148436939674999,1.5226360264392254,26.469940994593056,25.794217038511643,30.299792014679692,1.566175178220839,25.931229621973678,25.65969195486491,27.122518855011116,25.728403210996873,30.130047297308447,29.53461228183031,14.73674324910189,26.145584116703237,0.021102195930944298,13.480951622117558,28.86803782166695,25.223536494125728,29.793153864153382,24.71432480248735,25.378619460904257,0.7096136884822376,21.0115601868617,30.263756849536577,24.812968136861315,23.62773500817321,0.5020188586063031,29.58231530232277,-0.19689224868900557,30.48274869607515,3.3014246963323175,23.367404960973257,30.25932309797123,28.936084963289773,25.540426232762734,26.30482412965422,25.648085486128085,25.32915315071076,25.860875804546072,26.134924504319198,23.621691282115076,29.97453130292621,23.593909855271345,24.025591504681483,14.060022300687576,29.82563389622636,29.411141111511014,8.934645857740472,-1.3817960006307395,-3.655286950390964,23.498641647016314,24.570714794794185,29.496674020444726,30.1176441834175,-0.6648856716880744,4.429214297768559,25.846571344761283,26.262784279331072,19.357332122982488,25.43005615945767,3.587343328768634,-0.878166694487175,0.058265496835963514,-0.6019273997214919,-0.8938255316825546,1.2492281047830707,1.173882675933583,7.7763387308715775,11.637464885257225,18.411953657066007,10.81881658764394,12.053804248574687,13.039411869517451,7.973570367653321
