PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo
Demian Chapman,Gina,Gina,EXM_020,1,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,2,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,3,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,4,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,5,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,6,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,7,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,8,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,9,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,10,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,11,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,12,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,13,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,14,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,15,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,16,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,17,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,18,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,19,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,20,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,21,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,22,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,23,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,24,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,25,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,26,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,27,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,28,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,29,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,30,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,31,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,32,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,33,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,34,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,35,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,36,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,37,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,38,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,39,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,40,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,41,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,42,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,43,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,44,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,45,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,46,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,47,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,48,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,49,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,50,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,51,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,52,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,53,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,54,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,55,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,56,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,57,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,58,Bahamas,0,0,0
Demian Chapman,Gina,Gina,EXM_020,59,Bahamas,0,0,0
