PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,7894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,8194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,8494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,8794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,9094,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,9394,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,9694,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,9994,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,10294,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,10594,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,10894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,11194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,11494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,11794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,12094,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,12394,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,12694,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,12994,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,13294,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,13594,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,13894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,14194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,14494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,14794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,15094,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,15394,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,15694,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,15994,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,16294,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,16594,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,16894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,17194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,17494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,17794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,18094,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,18394,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,18694,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,18994,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,19294,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,19594,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,19894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,20194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,20494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,20794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,21094,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,21394,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,21694,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,21994,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,22294,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,22594,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,22894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,23194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,23494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,23794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,24094,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,24394,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,24694,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,24994,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,25294,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,25594,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,25894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,26194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,26494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,26794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,27094,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,27394,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,27694,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,27994,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,28294,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,28594,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,28894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,29194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,29494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,29794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,30094,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,30394,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,30694,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,30994,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,31294,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,31594,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,31894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,32194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,32494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,32794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,33094,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,33394,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,33694,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,33994,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,34294,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,34594,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,34894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,35194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,35494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,35794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,36094,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,36394,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,36694,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,36994,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,37294,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,37594,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,37894,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,38194,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,38494,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,38794,Knife Reef,0,0,0
Michelle Heupel,Leanne Currey,Michael Natt,FP_2016_AU-P_01_TSV3_098,39094,Knife Reef,0,0,0
