,Global_rate,pi_t__0,pi_t__1,pi_t__2,pi_t__3,Sanctuary,CoastLength,HDI,VOICE,POP,η0_USA-Western Atlantic,η0_Bahamas,η0_Australia-Pacific,η0_Australia IOT,η0_Maldives,η0_Malaysia,η0_Solomon Islands,η0_Indonesia,η0_Palau,η0_American Samoa,η0_New Caledonia,η0_Belize,η0_Jamaica,η0_Trinidad and Tobago,η0_Vanuatu,η0_British West Indies,η0_Fiji,η0_Colombia,η0_Australia-Indian Ocean,η0_South Africa,η0_Mozambique,η0_Niue,η0_Japan,η0_Seychelles,η0_Taiwan,η0_Kiribati,η0_Qatar,η0_Federated States of Micronesia,η0_Vietnam,η0_Philippines,η0_French Polynesia,η0_Samoa,η0_Turks and Caicos,η0_Antigua and Barbuda,η0_Barbados,η0_Brazil,η0_Columbia SF,η0_Jamaica PB,η0_Mayotte,η0_USA-Pacific,η0_Sri Lanka,η0_Tanzania,η0_Papua New Guinea,η0_Tonga,η0_New Zealand,η0_India,η0_Kenya,η0_Dutch Antilles Windward,η0_Madagascar,η0_Saudi Arabia-Red Sea,η0_Guam,η0_Cook Islands,η0_Dominican Republic,η0_French West Indies,η0_Dutch Antilles Leeward,η0_Cuba,η0_Bermuda,η0_Puerto Rico,Reef_type_flat,Reef_type_crest,Reef_type_back reef,Reef_type_lagoon,Closed,MPA_size,High_compliance,Gillnet_longline,Drumline,HookLine,Catch,Temporal,Species,Remote,Gravity_NP,Gravity_NC,Depth,Visibililty,Hard_coral,Rugosity,TimeODay,Bait_type__0,Bait_type__1,Bait_type__2,Bait_type__3,Seasonality__0,Seasonality__1,Global_zeros,pi0_t__0,pi0_t__1,pi0_t__2,pi0_t__3,η0z_USA-Western Atlantic,η0z_Bahamas,η0z_Australia-Pacific,η0z_Australia IOT,η0z_Maldives,η0z_Malaysia,η0z_Solomon Islands,η0z_Indonesia,η0z_Palau,η0z_American Samoa,η0z_New Caledonia,η0z_Belize,η0z_Jamaica,η0z_Trinidad and Tobago,η0z_Vanuatu,η0z_British West Indies,η0z_Fiji,η0z_Colombia,η0z_Australia-Indian Ocean,η0z_South Africa,η0z_Mozambique,η0z_Niue,η0z_Japan,η0z_Seychelles,η0z_Taiwan,η0z_Kiribati,η0z_Qatar,η0z_Federated States of Micronesia,η0z_Vietnam,η0z_Philippines,η0z_French Polynesia,η0z_Samoa,η0z_Turks and Caicos,η0z_Antigua and Barbuda,η0z_Barbados,η0z_Brazil,η0z_Columbia SF,η0z_Jamaica PB,η0z_Mayotte,η0z_USA-Pacific,η0z_Sri Lanka,η0z_Tanzania,η0z_Papua New Guinea,η0z_Tonga,η0z_New Zealand,η0z_India,η0z_Kenya,η0z_Dutch Antilles Windward,η0z_Madagascar,η0z_Saudi Arabia-Red Sea,η0z_Guam,η0z_Cook Islands,η0z_Dominican Republic,η0z_French West Indies,η0z_Dutch Antilles Leeward,η0z_Cuba,η0z_Bermuda,η0z_Puerto Rico,σ0_υ,Regional_rate_Western Atlantic,Regional_rate_Central Pacific,Regional_rate_Indian Ocean,Regional_rate_Western Pacific,σ0_η,σ0_κ,σ0_υ_z,Regional_zeros__0,Regional_zeros__1,Regional_zeros__2,Regional_zeros__3,σ0_η_z,alpha
Median,-0.8465760119535546,-0.10011419580929846,0.1871541074647294,-0.04760759729036497,-0.046144172603436506,0.6184662496697321,-0.22753826379111422,-1.2338139022759051,0.5109506986395506,0.08188737360311363,-0.8573471845676923,-1.1136304887830355,-0.8279856835608774,-1.4037910022967466,-1.1633794153615966,-2.307406633260694,-0.933069561571281,-1.9629159554888007,-0.6305539808726176,-1.5338738777444114,-0.6236609303868146,-1.3317861317866764,-1.4752497406906377,-1.0869834093071247,-1.1330655144286281,-1.2919400284828084,-1.2842053701532061,-2.239978646180927,-1.2434029460398572,-1.1679899168152472,-1.5127854745164173,-0.6666879293871029,-1.9058337123312716,-1.2335186107118334,-2.27281267472833,-0.5204712479213569,-2.62473205192936,-0.2467599023601642,-2.5105703378257216,-2.4904119100472353,-0.24503729988814793,-1.2371280022463882,-0.9655508227446464,-1.401138073583967,-1.050636232568687,-1.8101383948525929,-1.3903402770710984,-1.1871358585418759,-1.5526165069046622,-1.137587484528377,-2.1434412305134014,-1.7647459680377189,-1.1460076896422997,-1.41041539000929,-1.2682481980857205,-1.4835908680199381,-1.6087331509913296,-1.4157737786350522,-1.8316179297674076,-2.394062800168525,-2.5234802331816053,-0.9397448579151673,-1.0698269935721751,-1.6722930870685686,-1.7481825145131469,-2.7993157181858415,-1.6474659893983739,-1.7588584796502986,-0.2230285456157134,0.6472252108595227,-0.6243895520693876,0.41852955398298397,0.45979007213061246,0.38480162644893273,0.17521019888816883,-0.4372214515816584,-0.319717330969887,0.276900830991901,0.4456880914442059,-0.2302886560670377,-0.051569135881328394,0.7942427563065835,-0.4499209512191622,-0.7737139050445861,0.0838564160076121,0.32940458170683307,-0.009032997548552506,0.07043872890333733,0.17692035017129698,0.23945668618281363,-0.12635379587772455,-0.27884294573678237,1.098255103104095,-0.21147626538091518,-0.044357263440880874,5.461325588228969,-0.248990427159357,1.0990709488411423,-0.5397064151283082,-0.17176125449463192,8.280686995718296,9.18723019142449,10.54273858385029,1.285621229535639,8.341570333383203,7.326706552853729,8.155667585487262,7.312552330265261,10.331098392367641,9.267005407766973,2.495163008530879,7.763764248995111,-5.180218605791433,0.10397047720658045,7.306567101532081,6.949495125709162,9.528311497177004,5.504108124596537,7.223275650241128,-0.16326162442790754,1.0814467614486005,9.371164337413255,6.4158533937683355,4.671111189892919,-0.7649157864020719,9.70646577515095,-4.352444138482886,10.375812469666409,-4.481606663101619,3.323206398580645,11.326090762373878,7.879521865573043,7.860156699038448,7.861085978407914,7.35375151190904,7.199093179154962,7.558192622402393,7.915107169373021,3.268192180589872,9.673358104845821,5.502004127899815,5.849180957925081,1.6861171521873546,9.16365762159484,8.303110988092747,-4.8172071532274,-5.274400259831431,-7.579048511136048,4.4964131908677185,6.95802205631939,8.705095799739116,10.257824683195892,-5.67805209876459,-5.537806821387994,6.869673189066722,8.529621348729975,-2.6413664788036306,6.549029889994086,0.1797582848319353,-0.8694048946666719,-0.7956908970485504,-0.8571083374652091,-0.8643061627631334,0.555185730526459,0.9527440089483781,1.5296166139840695,4.993657580493821,7.529924454413478,4.476998144611307,5.174221213537399,6.364003601852463,6.651172007692683
Low 95,-1.340408293241739,-0.6328184451923037,-0.3653766358198326,-0.5847984756805714,-0.6429622055072497,0.3791681578233791,-0.3873432961098231,-1.891552699015198,0.3762978869738519,-0.13406964928888815,-1.1907272862425722,-1.4345371337584556,-1.1270217680330292,-1.6911766348832713,-1.4890424898771069,-2.6344225643819588,-1.2685732720467782,-2.232314635349049,-0.994620232821084,-1.9069456641275258,-1.0262116507814771,-1.626461605163793,-1.9138224232147483,-1.445259340970671,-1.436645303786452,-1.7009096327159414,-1.6156877492702097,-2.626116970884626,-1.5175494882824108,-1.5122149013390778,-1.8413880780364384,-1.0527206042080037,-2.305924866448713,-1.6161559307340148,-2.7007120273437493,-0.9180029886867678,-3.165595695850791,-0.5883788236566605,-3.0304382840695734,-2.8386203082074517,-0.5980721753909222,-1.6141374217580426,-1.3420830044145522,-1.7689539410555801,-1.3957897294074675,-2.142786944353385,-1.7842225711546835,-1.5626993329403838,-1.9371140404502918,-1.4791360919157923,-2.518981376953056,-2.1614974668826545,-1.4119986016101111,-1.7837679072776431,-1.6699630301931365,-1.9818002955894367,-2.0708539104211394,-1.8822078453458995,-2.107787378355661,-2.8251523262670286,-2.8576993601279845,-1.334409702134926,-1.592300914676747,-2.1358053408222597,-2.028802853770872,-3.167497853763078,-2.1184408185155763,-2.123265370623325,-0.5611968340506726,0.14722569032431243,-0.8184312428980938,0.24905328484166586,0.27581910197449255,0.17015026621128715,-0.020697208838978257,-0.6079800594892956,-0.5039231905917771,0.09558736279089107,0.2102320106583191,-0.45611992009422,-0.20593429216527542,0.5774974659510917,-0.5522509991690783,-0.8928963231799816,0.06362805164742345,0.3015232778275665,-0.0295331452388854,0.04473087761673974,0.1486857184886142,0.14295449920974268,-0.22647462062921153,-0.39308392266503095,0.8807180343191529,-0.2762984471600533,-0.10865768881584109,4.268111158362908,-0.8008639775245336,0.4166196212108993,-1.1055840149351381,-0.7607269255251212,5.68626970621637,6.7625881588045,7.709673591121211,1.1976353185380384,5.933186065580207,4.261961951415756,5.396472411080957,4.3241281270225,7.2983990508177845,5.838950963454335,2.174610755673506,5.004557398801143,-7.458267516431967,-0.29055003290315445,2.9590099575404034,3.919216493690038,6.246541596118816,1.7316158493602385,4.734847082550773,-0.37130595227012275,0.4491652041607245,6.156733211896767,3.064507860577671,2.288572274672753,-1.1341633997893992,6.397160428388771,-6.870014729175827,7.425973772594828,-6.862628128378523,1.5228469978331964,8.658051165991091,3.73418734194866,5.091858814246504,5.140910838919015,4.358991336819449,4.140976076101508,4.710845169840844,5.224777240030523,0.667191867417046,6.682532878921633,2.065207503396267,2.552825148208036,1.359636167136054,5.631966976822071,4.4487397698060285,-7.277662068995616,-7.637968730731304,-9.555767042102518,1.5022079703545117,4.006100610146387,5.0378352410938705,7.362337324866179,-7.84103892628831,-7.782729890039694,3.8010058403345646,5.9221552066737715,-5.453316564425607,3.2433494185678744,0.0789046937302489,-1.3645722484442766,-1.2955997476879193,-1.3387434764730577,-1.3469993685302422,0.4679197679923887,0.917394024099143,0.7005240316099551,3.7648652111586074,5.9578819384761985,3.004993299606631,3.790507806300761,5.4230947365399285,6.27760665688348
Upp 95,0.6751666071604444,1.5826999234439103,1.8952438843969643,1.6490727022559244,1.7289232505468979,1.3298654176971765,0.24362734642993283,0.7608121272042067,0.9174541069486669,0.7032456952501095,0.12785724626422648,-0.17517338891259265,0.0528000144342467,-0.5921259127887127,-0.19646407379980918,-1.3520610179411479,0.12822477443246588,-1.1758762826193456,0.4831050538939077,-0.4563734005277632,0.5628884186114118,-0.4426577375831899,-0.13217892012480129,0.0018978906183777023,-0.22396110835827981,-0.07601760395026169,-0.2899201837500934,-1.1716532784336628,-0.42001238921287404,-0.11095375972846298,-0.5764773112573889,0.5840941354692936,-0.7646741800415224,-0.020169816328256193,-1.0691419329873801,0.6509024976477462,-1.0655584863772043,0.7545793181507975,-1.0346895229804314,-1.509090848583212,0.8379007406959729,-0.07325557410615531,0.19389633143569662,-0.2631760076584867,-0.005726846252793527,-0.8688328325597482,-0.1547887327215445,0.03562156410033906,-0.41330947296631587,-0.1351492922561215,-1.0634515888073404,-0.6538041044192505,-0.3393085122318098,-0.3031686185496493,-0.06204391588998086,-0.0013956064000234648,-0.2611829401218885,0.04324119249024762,-1.0029650491815327,-1.1230380522998837,-1.5586685733093666,0.23714990781648349,0.45482183042408914,-0.28514739038489095,-0.9253068021424811,-1.744201518292461,-0.20169352567273868,-0.6811095984241795,0.7353642867062635,2.0957614979433554,-0.07726396413215648,0.9078451059750017,0.9962553162211432,1.0188101547164194,0.7317818840281707,0.05834067937513455,0.22120076057328278,0.8049169620193001,1.0929479555194976,0.42383161713489725,0.40949091851347097,1.4296635072355168,-0.1627156198870501,-0.42111631509377595,0.14070538191800677,0.40967211987837787,0.04967843230847672,0.14458849431448872,0.25905836655061754,0.496533432865876,0.15314686755564966,0.04089528443897749,1.7037338948265126,-0.0221949422411787,0.13729395858640753,10.27332510468608,1.4964813669534562,2.8503803217445096,1.3053666780191615,1.6509176184873153,22.039213618711788,22.46402524212277,24.380638648888535,1.56247067846335,21.77531504826527,22.19320329408722,22.04270712757003,21.382199080474873,24.442024756437565,23.90169388531217,15.516906347125143,22.052694574845102,1.583900209760969,17.13897366673387,22.99688426054195,21.139689177789215,24.415467181101764,20.97019981239018,21.53096736348417,0.6496624425881882,17.56302715521881,23.680103768277913,21.06573338321122,20.08520872191452,11.868015012385946,23.946556110929052,12.356076637696033,24.3214008657441,11.079883663469545,20.132374204271493,24.517516707353046,23.031203971711502,22.021024340908447,22.15428412785382,21.87567083594581,21.681591673336854,21.418888958333692,21.613806082668678,19.696934132333226,23.92618856139273,20.84049009340726,20.480207827461644,15.69697608013245,23.63149176746962,23.60284557514918,9.178255908301253,0.7712602310740525,-4.437554582690033,20.411920598358517,21.591284988049583,23.82315156744584,23.997937894552532,-1.625480958385606,-1.0401332697524999,21.54791280974266,21.477476772340307,16.57558683040865,21.54830408948491,1.273473489069302,0.6085031467933844,0.7415606230917676,0.5701136497036606,0.5729802298399836,0.8491520432315489,1.06407389448746,4.827310339035228,9.936078081457724,14.058962170115116,9.69844881596338,10.411057770155832,10.606457179161012,7.950105712709876
