,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
ZINB_full,0,27583.702069029467,301.8745932789443,0.0,0.7706268717469926,283.9283920317027,0.0,False,deviance
ZINB_full_count,1,27588.331872126484,304.96233467696584,4.629803097019677,0.1611806549887419,247.2234870012019,3.7805129805840805,False,deviance
ZINB_partial_null,2,27594.670909791374,310.04537466839247,10.96884076190931,0.0681924732642659,247.1288746899668,6.619924212526026,False,deviance
non_ZI_full,3,27738.835564550467,288.42300550333493,155.13349552100192,2.9839055265842896e-19,247.51509944409992,29.42821348050116,False,deviance
non_ZI_partial_null,4,27739.616103559718,289.6432505375633,155.91403453025586,4.937137666587097e-20,247.44663472202382,29.720998392503873,False,deviance
Null,5,37081.39737486822,2.479854159442766,9497.69530583875,0.0,247.1873327546471,160.88354228521163,False,deviance
